,title,id,max_occur_words,max_occur_number,content_original,content
0,Morocco–Saudi Arabia relations,1,morocco saudi,11,"Morocco–Saudi Arabia relations

Moroccan–Saudi Arabian relations refers to the current and historical relations between Morocco and Saudi Arabia. Morocco has an embassy in Riyadh and Saudi Arabia has an embassy in Rabat.

Both two nations have a long and traditional friendly relations based on many historical commons. Both Morocco and Saudi Arabia are two monarch states ruled by respective families, the Alaouites and the Al-Sauds, adhere to Sunni Islam, fear of growing Iranian and Shiite influence and their relationship is mostly described as excellent.

Morocco and Saudi Arabia have together taken steps to curb Iranian influence in the Arab world, although Morocco has a moderate approach to Iran while Saudi Arabia is more cautious and hostile of Iran.

Saudi Arabia has recently supported Morocco over the dispute of Western Sahara and doesn't recognize the legitimacy of Sahrawi Arab Democratic Republic, through the Arab League. Saudi Arabia, on the other side, also helps funding several projects in the region with support from Moroccan authorities.

During the current Yemeni Civil War, Morocco participates as part of the anti-Houthi coalition led by Saudi Arabia, with 6 planes and 1,500 troops.

Morocco has taken neutral stance in the conflict, hoping for a better resolution that benefit Qatar and Saudi Arabia, the former had participated together with Morocco in anti-Houthi campaign. Morocco even offers to act as a mediator to slow the tensions between two Gulf Arab states.",morocco saudi arabia relat moroccan saudi arabian relat refer current histor relat morocco saudi arabia. morocco embassi riyadh saudi arabia embassi rabat. nation long tradit friendli relat base histor commons. morocco saudi arabia monarch rule respect famili alaouit saud adher sunni islam fear grow iranian shiit influenc relationship excellent. morocco saudi arabia step curb iranian influenc arab morocco moder approach iran saudi arabia cautiou hostil iran. saudi arabia support morocco disput western sahara recogn legitimaci sahrawi arab democrat republ arab league. saudi arabia help fund project region support moroccan authorities. current yemeni civil war morocco particip anti houthi coalit lead saudi arabia 6 plane 1 500 troops. morocco neutral stanc conflict hop resolut benefit qatar saudi arabia particip morocco anti houthi campaign. morocco offer mediat slow tension gulf arab states.
1,Anthony United States Post Office,2,anthoni,4,"Anthony United States Post Office

The Anthony United States Post Office, listed on the National Register of Historic Places as US Post Office--Anthony, is located at 121 W. Steadman in Anthony, Kansas. It was built in 1939. It was listed on the National Register in 1989.

It was deemed significant ""for its historical association with the Treasury Department's Section program and for the artistic significance of the mural that it contains. The mural, ""Turning a Corner"", was painted by St. Louis artist Joe Jones (1901-1963) in 1939 and depicts three farmers using a combine to thresh wheat.",anthoni unit post offic anthoni unit post offic list nation regist histor place post offic anthoni locat 121 w. steadman anthoni kansas. built 1939. list nation regist 1989. deem histor associ treasuri depart program artist signific mural contains. mural turn corner paint st. loui artist joe jone 1901 1963 1939 depict farmer combin thresh wheat.
2,Dumraon Vidhan Sabha constituency,3,dumraon,5,"Dumraon (Vidhan Sabha constituency)

Dumraon Vidhan Sabha constituency is one of 243 legislative assembly of legislative assembly of Bihar. It is comes under Buxar lok sabha constituency.

Dumraon comprises Community Blocks of Chaugain, Kesath & Nawanagar; Gram Panchayats of Chilhari, Kushalpur, Bhojpur Kadim, Bhojpur Jadid, Chhatanwar, Nuaon, Sowan, Ariaon, Nandan, Lakhan Dihra & Dumraon (M) of Dumraon CD Block.",dumraon vidhan sabha constitu dumraon vidhan sabha constitu 243 legisl assembl legisl assembl bihar. buxar lok sabha constituency. dumraon compris commun block chaugain kesath nawanagar; gram panchayat chilhari kushalpur bhojpur kadim bhojpur jadid chhatanwar nuaon sowan ariaon nandan lakhan dihra dumraon dumraon cd block.
3,Chaker Khazaal,4,khazaal,8,"Chaker Khazaal

Chaker Khazaal (born 28 September 1987 in Beirut, Lebanon) is a Palestinian-Canadian author and reporter born to Palestinian filmmaker Mahmoud Khazaal and socio-political activist mother Olfat Mahmoud. Khazaal grew up in Bourj el-Barajneh refugee camp near Beirut and at a young age, participated in several local plays and starred in the Palestinian film ""Sugar of Jaffa"". He is a third generation Palestinian refugee. He later immigrated to Canada and studied at York University as a 2005 recipient of the Global Leader of Tomorrow Award. He graduated in 2009 from York University with a B.A. in International Development Studies.

Khazaal was named number one in the 100 Most Influential Arabs Under 40 by ""Arabian Business"" Magazine. 

""Confessions of a War Child"" is a thriller romantic trilogy of fiction written by Khazaal inspired by true stories of war children around the world. The first part was published in 2013, under the main title followed by the second installment, subtitled ""Lia"" in 2014 and third part of the trilogy subtitled ""Sahara"" in 2015. In 2017, he published the novel ""Tale of Tara"" about the story of a Palestinian refugee from a camp in Lebanon to human traffickers in Europe where she becomes a prostitute and her meeting a bestselling New York writer and the intriguing relation between the two.

Chaker writes in the ""Huffington Post"" about various topics, mainly related to the Middle East and refugees. and speaks about refugee issues on mainstream media. He dedicated his ""Esquire"" Man of the Year Award to Aylan Kurdi, the Syrian refugee child who was found dead on a beach in Turkey. Khazaal founded a program that offers refugees and migrants contractual remote employment in e-marketing, graphics, social media management and web development. In December 2016, New York based NGO Bridges of Understanding awarded Khazaal the Global Trailblazer alongside Arianna Huffington. He served as the the Editor in Chief of StepFeed and YallaFeed online news site in 2017.",chaker khazaal chaker khazaal born 28 septemb 1987 beirut lebanon palestinian canadian author report born palestinian filmmak mahmoud khazaal socio polit activist mother olfat mahmoud. khazaal grow bourj el barajneh refuge camp beirut young age particip local play star palestinian film sugar jaffa . gener palestinian refugee. immigr canada studi york univers 2005 recipi global leader tomorrow award. graduat 2009 york univers b.a. intern develop studies. khazaal name number 100 influenti arab 40 arabian busi magazine. confess war child thriller romant trilog fiction write khazaal inspir true stori war child world. publish 2013 main titl instal subtitl lia 2014 trilog subtitl sahara 2015. 2017 publish tale tara stori palestinian refuge camp lebanon human traffick europ prostitut meet bestsel york writer intrigu relat two. chaker write huffington post topic middl east refugees. speak refuge issu mainstream media. dedic esquir man year award aylan kurdi syrian refuge child dead beach turkey. khazaal found program offer refuge migrant contractu remot employ market graphic social medium manag web development. decemb 2016 york base ngo bridg understand award khazaal global trailblaz arianna huffington. serv editor chief stepfe yallafe onlin news site 2017.
4,Vicente Pascual Pastor,5,alcoy,9,"Vicente Pascual Pastor

Vicente Pascual Pastor (Alcoy, june 3, 1865 - Alcoy, february 2, 1941) was a spanish architect, one of the main architects of the Art Nouveau in Alcoy and the Valencian Art Nouveau.

Vicente Pascual Pastor was formed in the Barcelona School of Architecture and again in his natal city, in 1891 he becomes municipal architect of Alcoy. He alternates this work with the teaching in the School of Arts and Alcoy's Trades, of which he will be the director in 1903. 

Between 1909 and 1913 he becomes mayor of the Alcoy town hall. As a mayor he stimulated the construction of houses for workers in modern and healthy conditions. Inside the social and industrial life of the city, he was present in Alcoy's Savings Bank and in the institution Alcoy's Industrial Circle. He married in 1916 with Elena Perez, who had descent.

The art nouveau style of Vicente Pascual will have a few exuberant characteristics and a direct influence of the french and belgian art nouveau. 

The great majority of the projects realized by Vicente Pascual were built in Alcoy, being more than 60 the works that he realized along his life. He realized also some interesting works in Bocairent (Valencia) and Banyeres de Mariola (Alicante).

Relation of works by chronological order:",vicent pascual pastor vicent pascual pastor alcoy june 3 1865 alcoy februari 2 1941 spanish architect main architect art nouveau alcoy valencian art nouveau. vicent pascual pastor form barcelona school architectur natal citi 1891 municip architect alcoy. altern work teach school art alcoy trade director 1903. 1909 1913 mayor alcoy town hall. mayor stimul construct hous worker modern healthi conditions. social industri life citi alcoy save bank institut alcoy industri circle. marri 1916 elena perez descent. art nouveau style vicent pascual exuber characterist direct influenc french belgian art nouveau. great major project realiz vicent pascual built alcoy 60 work realiz life. realiz interest work bocair valencia banyer mariola alicant . relat work chronolog order
5,List of Swiss football transfers winter 2017–18,6,in out,10,"List of Swiss football transfers winter 2017–18

This is a list of Swiss football transfers for the 2017–18 winter transfer window by club. Only transfers of clubs in the Swiss Super League are included.

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:

In:

Out:",list swiss footbal transfer winter 2017 18 list swiss footbal transfer 2017 18 winter transfer window club. transfer club swiss super leagu included.
6,Rajpur Vidhan Sabha constituency,7,rajpur,4,"Rajpur (Vidhan Sabha constituency)

Rajpur Vidhan Sabha constituency is one of 243 legislative assembly of legislative assembly of Bihar. It is comes under Buxar lok sabha constituency.

Rajpur comprises community blocks of Rajpur & Itarhi; Gram Panchayats Ataon, Kanjharua, Mathila, Mugaon, Kasian & Koransarai of Dumraon CD Block.",rajpur vidhan sabha constitu rajpur vidhan sabha constitu 243 legisl assembl legisl assembl bihar. buxar lok sabha constituency. rajpur compris commun block rajpur itarhi; gram panchayat ataon kanjharua mathila mugaon kasian koransarai dumraon cd block.
7,Stephen E Levinson,8,levinson,9,"Stephen E. Levinson

Stephen E. Levinson was born on September 27, 1944 in in New York City. 
He earned a B. A. degree in Engineering Sciences at Harvard University in 1966. He earned his M. S. (1972) and Ph.D. (1974) degrees in Electrical Engineering at the University of Rhode Island in Kingston, Rhode Island.

Levinson worked as a design engineer at General Dynamics from 1966-1969, after completing his Bachelor's degree, and as an instructor in computer science at Yale University from 1974-1976, after completing his Ph.D.

In 1976, he joined AT&T Bell Laboratories in Murray Hill, New Jersey. There he studied speech recognition and understanding. 
He was a visiting researcher at the NTT Musashino Electrical Communication Laboratory in Tokyo, Japan in 1979, and a visiting fellow at Cambridge University in 1984. 
In 1990, Levinson was appointed head of Linguistics Research at Bell Labs. He directed research on speech synthesis, speech recognition and the translation of spoken language.

In 1997, Levinson moved to the Department of Electrical and Computer Engineering of the University of Illinois at Urbana-Champaign, where he leads the Language Acquisition and Robotics Lab.
His areas of teaching and research include speech and language processing, speech synthesis, and language acquisition. Levinson is developing computational models of the brain, mind, and language acquisition using an iCub humanoid robot. The robot is designed to learn through experience, similar to the way in which a human child might learn. 
Levinson is the first researcher in North American to work with this type of robot, which was designed in Europe. Skills that researchers hope to teach the robot include juggling, walking, talking, and memory formation. 

Levinson has published more than 100 technical papers and holds several patents.
He is a founding editor of the journal ""Computer Speech and Language"", and an editor of the journal ""Speech Technology"".
Among others books, Levinson is the author of ""Mathematical Models for Speech Technology"" (2005) and co-author of ""Autonomous Robotics and Deep Learning"" (2014) and ""Autonomous Military Robotics"" (2014).",stephen e. levinson stephen e. levinson born septemb 27 1944 york city. earn b. a. degre engin scienc harvard univers 1966. earn m. s. 1972 ph.d. 1974 degre electr engin univers rhode island kingston rhode island. levinson work design engin gener dynam 1966 1969 complet bachelor degre instructor scienc yale univers 1974 1976 complet ph.d. 1976 join bell laboratori murray hill jersey. studi speech recognit understanding. visit research ntt musashino electr commun laboratori tokyo japan 1979 visit fellow cambridg univers 1984. 1990 levinson appoint head linguist bell labs. direct speech synthesi speech recognit translat spoken language. 1997 levinson move depart electr engin univers illinoi urbana champaign lead languag acquisit robot lab. area teach includ speech languag process speech synthesi languag acquisition. levinson develop comput model brain mind languag acquisit icub humanoid robot. robot design learn experi human child learn. levinson research north american work type robot design europe. skill research hope teach robot includ juggl walk talk memori formation. levinson publish 100 technic paper hold patents. found editor journal speech languag editor journal speech technolog . book levinson author mathemat model speech technolog 2005 author autonom robot deep learn 2014 autonom militari robot 2014 .
8,1978 Paris–Roubaix,9,roubaix,4,"1978 Paris–Roubaix

The 1978 Paris–Roubaix was the 76th edition of the Paris–Roubaix cycle race and was held on 16 April 1978. The race started in Compiègne and finished in Roubaix. The race was won by Francesco Moser of the Sanson team.",1978 pari roubaix 1978 pari roubaix 76th edit pari roubaix cycl race held 16 april 1978. race start compiègn finish roubaix. race francesco moser sanson team.
9,Rajdeep Dasgupta,10,dasgupta,8,"Rajdeep Dasgupta

Rajdeep Dasgupta is a professor of Earth, Environmental, and Planetary Sciences at Rice University. In his research, he studies the role of subsurface melting and magma on the origin and evolution of the Earth and other terrestrial planets.

Rajdeep Dasgupta earned his B.Sc. in 1998 and his M.Sc. in 2000 from Jadavpur University in Kolkata, India and completed his Ph.D. in geology at the University of Minnesota in 2006. Dasgupta was a postdoctoral research associate at the University of Minnesota, and then was a postdoctoral fellow at Lamont-Doherty Earth Observatory at Columbia University. He joined the faculty of Rice University in 2008 where he is now a professor. Dasgupta also is a visiting scientist with the Lunar and Planetary Institute and an associate editor with ""Geochimica et Cosmochimica Acta"". He is a member of the American Geophysical Union, the Mineralogical Society of America, the Geochemical Society, and the Geological Society of America.

In 2011, Dasgupta received the F.W. Clarke Medal from the Geochemical Society, an award given to an early-career scientist for a single outstanding contribution to geochemistry or cosmochemistry. The American Geophysical Union awarded him the James B. Macelwane Medal in 2014. In 2012, he won the Hisashi Kuno award, given annually to an AGU member who has made outstanding contributions to the fields of volcanology, geochemistry or petrology.

Rajdeep Dasgupta is an expert on the deep carbon cycle and his research centers on how carbon, oxygen, and hydrogen in the mantle affect magma melting processes. He has created new models for how rocks melt in carbon-rich environments and calculated carbon’s solubility in the core. Dasgupta has developed a way to use major elements in magmas to estimate their source region and composition in the mantle. He also is researching sulfur solubility, to understand sulfur transport in subduction zones.",rajdeep dasgupta rajdeep dasgupta professor earth environment planetari scienc rice university. studi role subsurfac melt magma origin evolut earth terrestri planets. rajdeep dasgupta earn b.sc. 1998 m.sc. 2000 jadavpur univers kolkata india complet ph.d. geolog univers minnesota 2006. dasgupta postdoctor associ univers minnesota postdoctor fellow lamont doherti earth observatori columbia university. join faculti rice univers 2008 professor. dasgupta visit scientist lunar planetari institut associ editor geochimica cosmochimica acta . member american geophys union mineralog societi america geochem societi geolog societi america. 2011 dasgupta receiv f.w. clark medal geochem societi award earli career scientist singl outstand contribut geochemistri cosmochemistry. american geophys union award jame b. macelwan medal 2014. 2012 hisashi kuno award annual agu member outstand contribut field volcanolog geochemistri petrology. rajdeep dasgupta expert deep carbon cycl center carbon oxygen hydrogen mantl affect magma melt processes. creat model rock melt carbon rich environ calcul carbon’ solubl core. dasgupta develop major element magma estim sourc region composit mantle. research sulfur solubl understand sulfur transport subduct zones.
